title,year,genre,overview,rating,language,industry,time,poster_url
Duniyadari,1971,"Adventure, Horror, Thriller","This is the story of Movie 1, which involves unexpected events and dramatic turns.",5.3,Marathi,Marathi,02:46:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Green Mile,2005,Fantasy,"This is the story of Movie 2, which involves unexpected events and dramatic turns.",6.9,English,Hollywood,01:58:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,2014,"Adventure, Comedy","This is the story of Movie 3, which involves unexpected events and dramatic turns.",4.6,Hindi,Bollywood,02:34:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Natsamrat,1964,"Action, Romance, Horror","This is the story of Movie 4, which involves unexpected events and dramatic turns.",4.6,Marathi,Marathi,02:38:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Piku,1966,"Adventure, Action","This is the story of Movie 5, which involves unexpected events and dramatic turns.",9.1,Hindi,Bollywood,02:11:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,2021,"Comedy, Drama","This is the story of Movie 6, which involves unexpected events and dramatic turns.",5.7,Hindi,Bollywood,02:54:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,1987,"Fantasy, Comedy, Crime","This is the story of Movie 7, which involves unexpected events and dramatic turns.",8.1,English,Hollywood,01:47:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Fight Club,1956,Horror,"This is the story of Movie 8, which involves unexpected events and dramatic turns.",5.6,English,Hollywood,01:51:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Duniyadari,1994,"Action, Thriller, Romance","This is the story of Movie 9, which involves unexpected events and dramatic turns.",6.1,Marathi,Marathi,02:34:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Parasite,1984,"Sci-Fi, Romance, Thriller","This is the story of Movie 10, which involves unexpected events and dramatic turns.",6.3,English,Hollywood,01:42:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Golden Dream,1988,Comedy,"This is the story of Movie 11, which involves unexpected events and dramatic turns.",6.2,English,Hollywood,01:40:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,2009,"Horror, Crime, Thriller","This is the story of Movie 12, which involves unexpected events and dramatic turns.",6.7,Hindi,Bollywood,01:42:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Article 15,1991,"Crime, Horror","This is the story of Movie 13, which involves unexpected events and dramatic turns.",9.3,Hindi,Bollywood,02:13:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Social Network,1973,"Crime, Sci-Fi, Horror","This is the story of Movie 14, which involves unexpected events and dramatic turns.",5.0,English,Hollywood,01:56:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Katyar Kaljat Ghusali,1983,"Comedy, Adventure, Drama","This is the story of Movie 15, which involves unexpected events and dramatic turns.",9.2,Marathi,Marathi,02:21:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sholay,2022,Drama,"This is the story of Movie 16, which involves unexpected events and dramatic turns.",7.3,Hindi,Bollywood,02:20:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Katyar Kaljat Ghusali,1976,Adventure,"This is the story of Movie 17, which involves unexpected events and dramatic turns.",4.4,Marathi,Marathi,02:34:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Piku,1994,Drama,"This is the story of Movie 18, which involves unexpected events and dramatic turns.",4.8,Hindi,Bollywood,02:45:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,1990,"Drama, Action, Adventure","This is the story of Movie 19, which involves unexpected events and dramatic turns.",9.4,English,Hollywood,02:19:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,1972,"Drama, Thriller","This is the story of Movie 20, which involves unexpected events and dramatic turns.",9.1,Hindi,Bollywood,02:45:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Social Network,1950,"Fantasy, Action","This is the story of Movie 21, which involves unexpected events and dramatic turns.",4.7,English,Hollywood,02:57:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mee Shivajiraje Bhosale Boltoy,2000,"Drama, Action, Crime","This is the story of Movie 22, which involves unexpected events and dramatic turns.",5.8,Marathi,Marathi,02:52:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Timepass,2012,"Comedy, Thriller","This is the story of Movie 23, which involves unexpected events and dramatic turns.",5.8,Marathi,Marathi,01:50:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,1956,Adventure,"This is the story of Movie 24, which involves unexpected events and dramatic turns.",8.9,English,Hollywood,02:31:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,1974,"Romance, Adventure","This is the story of Movie 25, which involves unexpected events and dramatic turns.",5.5,English,Hollywood,02:47:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,2007,Adventure,"This is the story of Movie 26, which involves unexpected events and dramatic turns.",8.1,English,Hollywood,02:34:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,2011,"Sci-Fi, Thriller","This is the story of Movie 27, which involves unexpected events and dramatic turns.",6.0,English,Hollywood,01:58:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Andaz Apna Apna,2009,"Horror, Crime, Action","This is the story of Movie 28, which involves unexpected events and dramatic turns.",8.8,Hindi,Bollywood,02:55:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,1969,"Action, Fantasy","This is the story of Movie 29, which involves unexpected events and dramatic turns.",7.9,English,Hollywood,02:16:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,1994,Fantasy,"This is the story of Movie 30, which involves unexpected events and dramatic turns.",8.3,English,Hollywood,02:13:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,2013,"Comedy, Adventure","This is the story of Movie 31, which involves unexpected events and dramatic turns.",8.5,English,Hollywood,02:29:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Fight Club,2004,"Thriller, Comedy","This is the story of Movie 32, which involves unexpected events and dramatic turns.",6.0,English,Hollywood,01:47:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Ventilator,2012,"Action, Fantasy","This is the story of Movie 33, which involves unexpected events and dramatic turns.",5.3,Marathi,Marathi,02:39:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,1970,"Crime, Fantasy","This is the story of Movie 34, which involves unexpected events and dramatic turns.",4.3,English,Hollywood,01:42:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,1992,"Sci-Fi, Action, Fantasy","This is the story of Movie 35, which involves unexpected events and dramatic turns.",8.8,English,Hollywood,02:34:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mimi,1950,"Sci-Fi, Action","This is the story of Movie 36, which involves unexpected events and dramatic turns.",5.7,Hindi,Bollywood,02:59:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Disciple,2018,"Horror, Fantasy","This is the story of Movie 37, which involves unexpected events and dramatic turns.",4.8,Marathi,Marathi,02:20:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Court,1993,"Adventure, Romance","This is the story of Movie 38, which involves unexpected events and dramatic turns.",6.1,Marathi,Marathi,02:23:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lalbaug Parel,1956,Horror,"This is the story of Movie 39, which involves unexpected events and dramatic turns.",7.2,Marathi,Marathi,02:05:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Barfi!,2013,"Action, Sci-Fi, Fantasy","This is the story of Movie 40, which involves unexpected events and dramatic turns.",9.5,Hindi,Bollywood,02:41:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,2008,"Action, Drama","This is the story of Movie 41, which involves unexpected events and dramatic turns.",8.6,English,Hollywood,02:58:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Green Mile,1977,Comedy,"This is the story of Movie 42, which involves unexpected events and dramatic turns.",4.7,English,Hollywood,01:57:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Joker,2018,"Adventure, Romance, Sci-Fi","This is the story of Movie 43, which involves unexpected events and dramatic turns.",5.1,English,Hollywood,02:41:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
La La Land,2019,Horror,"This is the story of Movie 44, which involves unexpected events and dramatic turns.",8.4,English,Hollywood,02:08:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lalbaug Parel,1952,Crime,"This is the story of Movie 45, which involves unexpected events and dramatic turns.",6.7,Marathi,Marathi,02:19:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,1992,"Adventure, Thriller, Comedy","This is the story of Movie 46, which involves unexpected events and dramatic turns.",5.5,English,Hollywood,02:39:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,2017,"Action, Horror","This is the story of Movie 47, which involves unexpected events and dramatic turns.",4.0,English,Hollywood,02:27:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Balak Palak,1996,"Drama, Action","This is the story of Movie 48, which involves unexpected events and dramatic turns.",7.1,Marathi,Marathi,02:41:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Whiplash,2014,Horror,"This is the story of Movie 49, which involves unexpected events and dramatic turns.",5.8,English,Hollywood,02:07:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Jogwa,1989,"Drama, Action, Comedy","This is the story of Movie 50, which involves unexpected events and dramatic turns.",4.9,Marathi,Marathi,02:50:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,1966,"Sci-Fi, Romance","This is the story of Movie 51, which involves unexpected events and dramatic turns.",6.8,English,Hollywood,01:56:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Deool,1972,"Romance, Comedy","This is the story of Movie 52, which involves unexpected events and dramatic turns.",4.7,Marathi,Marathi,01:59:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mimi,1993,Adventure,"This is the story of Movie 53, which involves unexpected events and dramatic turns.",8.8,Hindi,Bollywood,02:57:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mimi,1967,Crime,"This is the story of Movie 54, which involves unexpected events and dramatic turns.",5.0,Hindi,Bollywood,02:06:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,2018,Sci-Fi,"This is the story of Movie 55, which involves unexpected events and dramatic turns.",6.7,English,Hollywood,01:51:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Lost Whisper,1955,"Comedy, Drama","This is the story of Movie 56, which involves unexpected events and dramatic turns.",6.4,English,Hollywood,02:16:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Pulp Fiction,2020,Romance,"This is the story of Movie 57, which involves unexpected events and dramatic turns.",7.6,English,Hollywood,01:31:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Piku,1998,"Adventure, Thriller, Sci-Fi","This is the story of Movie 58, which involves unexpected events and dramatic turns.",8.2,Hindi,Bollywood,03:00:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Fight Club,1957,"Action, Crime","This is the story of Movie 59, which involves unexpected events and dramatic turns.",9.1,English,Hollywood,02:14:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mimi,1958,"Romance, Thriller, Fantasy","This is the story of Movie 60, which involves unexpected events and dramatic turns.",8.3,Hindi,Bollywood,01:58:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Zenda,1959,"Comedy, Thriller","This is the story of Movie 61, which involves unexpected events and dramatic turns.",5.6,Marathi,Marathi,01:51:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Article 15,1956,"Adventure, Crime","This is the story of Movie 62, which involves unexpected events and dramatic turns.",5.7,Hindi,Bollywood,02:19:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Drishyam,1954,Fantasy,"This is the story of Movie 63, which involves unexpected events and dramatic turns.",9.1,Hindi,Bollywood,01:44:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Masaan,1976,"Sci-Fi, Crime, Comedy","This is the story of Movie 64, which involves unexpected events and dramatic turns.",5.1,Hindi,Bollywood,01:50:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Ti Saddhya Kay Karte,2005,"Drama, Crime, Comedy","This is the story of Movie 65, which involves unexpected events and dramatic turns.",7.4,Marathi,Marathi,02:17:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Whiplash,1983,"Fantasy, Action","This is the story of Movie 66, which involves unexpected events and dramatic turns.",8.9,English,Hollywood,02:46:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
